requirement_id,adr_ids,api,database,event,test
ARCH-001,ADR-001,POST /projects,forests.projects,ForestProjectCreated,TEST-DOMAIN-001
GEO-001,ADR-005;ADR-008,POST /parcels/{parcelId}/boundaries,forests.parcel_boundaries,ParcelBoundarySubmitted,TEST-GEO-001
EVID-002,ADR-011;ADR-029,POST /evidence/assets/{id}/complete,evidence.assets,EvidenceAssetStored,TEST-EVID-002
FIN-001,ADR-026,POST /internal/ledger-transactions,finance.entries,LedgerTransactionPosted,TEST-FIN-001
AI-002,ADR-017;ADR-029,POST /ai/query,ai.citations,AIResponseGenerated,TEST-AI-001
PARTY-001,ADR-005;ADR-019,POST /parties,parties.parties,PartyRegistered,TEST-PARTY-001
PARTY-002,ADR-011;ADR-029,POST /parties,parties.parties.identity_evidence,PartyRegistered,TEST-PARTY-002
PARTY-003,ADR-014,GET /parties/{partyId},parties.parties,,TEST-PARTY-003
LAND-001,ADR-005;ADR-016,POST /parcels/{parcelId}/land-roles,parties.land_roles,LandRoleAsserted,TEST-LAND-001
LAND-002,ADR-014;ADR-029,POST /parcels/{parcelId}/land-roles,parties.land_roles.conveys_authority_to_commit,LandRoleAsserted,TEST-LAND-002
CONSENT-002,ADR-016,POST /parties,parties.consent_grants,ConsentGranted,TEST-CONSENT-002
CONSENT-003,ADR-005;ADR-016,POST /parties/{partyId}/consent-grants/{consentGrantId}/withdrawal,parties.consent_grants.withdrawn_at,ConsentWithdrawn,TEST-CONSENT-003
